Fecha,D1_TEMPERATURE,D2_TEMPERATURE,Q-PS_MGD,Q-influent_MGD,Q-TWAS_GPM,Q-HSW1_GPM,Q-HSW2_GPM,V-HSW-DIG2-yest_gal,H-HSW_ft,H-Dig1_FT,H-Dig2_FT,Biogas,Minutos_disponibles,Cobertura_porcentaje,Dia_completo,Tramo,Biogas_actual,Biogas_lag_1,Biogas_lag_2,Biogas_lag_3,Biogas_lag_7,Biogas_media_3d,Biogas_desv_3d,Biogas_media_7d,Biogas_desv_7d,Fecha_objetivo_D1,Biogas_D1,Fecha_objetivo_D3,Biogas_D3,Fecha_objetivo_D7,Biogas_D7,Fecha_objetivo_D15,Biogas_D15,Fecha_objetivo_D30,Biogas_D30
2023-01-09,95.96419444444444,95.81934027777778,12.943868055555555,3.533541666666667,8.48725,7.147916666666666,7.192743055555555,3226.2627569444444,5.630708333333334,5.862965277777778,4.902263888888889,113.78107634597639,1440,100.0,True,10,113.78107634597639,76.34335276865069,78.52955535486875,107.85673232559445,78.9954602079125,89.55132815649858,21.01202973134987,122.31055604087301,40.10466502095239,2023-01-10,143.9836122749368,2023-01-12,70.82207204816945,2023-01-16,97.01577506554861,2023-01-24,191.64682237729167,2023-02-08,125.9413038377361
2023-01-10,95.98585416666667,95.2629236111111,12.36067361111111,3.5525208333333333,8.884375,8.365375,8.828763888888888,10381.697493055555,5.304194444444445,5.860215277777777,4.748555555555556,143.9836122749368,1440,100.0,True,10,143.9836122749368,113.78107634597639,76.34335276865069,78.52955535486875,146.58390218655555,111.3693471298546,33.8845614532394,121.93908605349891,39.85361765765008,2023-01-11,136.53731412215208,2023-01-13,95.73587550180557,2023-01-17,149.77737681854165,2023-01-25,184.04020955104167,2023-02-09,148.96966054715278
2023-01-11,95.96054861111111,95.46700694444444,9.852236111111113,3.534798611111111,6.765451388888889,9.05851388888889,9.082340277777778,12766.316319444444,5.319881944444445,5.955340277777778,4.814229166666666,136.53731412215208,1440,100.0,True,10,136.53731412215208,143.9836122749368,113.78107634597639,76.34335276865069,187.00010610555555,131.4340009143551,15.734711576882894,114.73011577015555,29.2866642208826,2023-01-12,70.82207204816945,2023-01-14,92.89164404155001,2023-01-18,151.26455833965278,2023-01-26,171.7754768420139,2023-02-10,165.57050312770832
2023-01-12,96.01308333333333,95.75502083333335,7.516506944444445,3.4838124999999995,4.936243055555555,7.2850624999999996,6.984972222222223,13115.678368055556,5.132173611111111,6.99225,3.671236111111111,70.82207204816945,1440,100.0,True,10,70.82207204816945,136.53731412215208,143.9836122749368,113.78107634597639,146.07916719890972,117.11433281508607,40.262785475289746,103.97910217719266,29.67129766906342,2023-01-13,95.73587550180557,2023-01-15,74.42980652276319,2023-01-19,161.7522819070139,2023-01-27,142.0815475536389,2023-02-11,131.52156345381945
2023-01-13,95.90884722222222,95.12240277777778,11.67057638888889,3.447888888888889,11.301055555555555,6.707270833333333,6.753972222222222,10060.133548611111,5.7601875,6.686284722222222,4.069319444444444,95.73587550180557,1440,100.0,True,10,95.73587550180557,70.82207204816945,136.53731412215208,143.9836122749368,107.85673232559445,101.03175389070901,33.17616623636736,102.24755120236567,29.760830860943326,2023-01-14,92.89164404155001,2023-01-16,97.01577506554861,2023-01-20,148.7933527688889,2023-01-28,77.53336022465417,2023-02-12,117.72094485688889
2023-01-14,96.05993055555555,95.16039583333334,10.862965277777779,3.335465277777778,8.875534722222223,2.8002777777777776,2.8051458333333334,9729.608215277776,6.055124999999999,5.842506944444444,4.052388888888888,92.89164404155001,1440,100.0,True,10,92.89164404155001,95.73587550180557,70.82207204816945,136.53731412215208,78.52955535486875,86.48319719717499,13.637285061532461,104.29927815760585,28.313026767697014,2023-01-15,74.42980652276319,2023-01-17,149.77737681854165,2023-01-21,157.34190209909724,2023-01-29,66.52426164737777,2023-02-13,113.19716304833334
2023-01-15,95.98201388888889,95.84783333333334,10.249222222222222,3.2138541666666667,7.849430555555556,2.7270416666666666,2.8264444444444443,4006.886715277778,4.8020555555555555,5.846340277777777,4.162576388888889,74.42980652276319,1440,100.0,True,10,74.42980652276319,92.89164404155001,95.73587550180557,70.82207204816945,76.34335276865069,87.68577535537291,11.56775455385469,104.02591440819334,28.6353318638163,2023-01-16,97.01577506554861,2023-01-18,151.26455833965278,2023-01-22,154.25964758194445,2023-01-30,78.87811402251181,2023-02-14,134.47288199875695
2023-01-16,95.84747916666666,95.69144444444444,11.802201388888891,4.577680555555555,8.843979166666667,8.436506944444444,8.158472222222223,4073.7707569444447,5.472534722222222,6.022034722222222,4.238631944444444,97.01577506554861,1440,100.0,True,10,97.01577506554861,74.42980652276319,92.89164404155001,95.73587550180557,113.78107634597639,88.11240854328724,12.027564704245938,101.63087136813225,28.383441877058264,2023-01-17,149.77737681854165,2023-01-19,161.7522819070139,2023-01-23,167.0309772717361,2023-01-31,113.70234312956251,2023-02-15,147.8343875451389
2023-01-17,95.95911805555556,94.86178472222223,11.14134722222222,3.741444444444445,8.316729166666667,9.154486111111112,9.007958333333335,11766.144395833333,5.071888888888889,6.449854166666666,4.506472222222222,149.77737681854165,1440,100.0,True,10,149.77737681854165,97.01577506554861,74.42980652276319,92.89164404155001,143.9836122749368,107.07431946895112,38.66774914584167,102.45855201721864,29.86986936334381,2023-01-18,151.26455833965278,2023-01-20,148.7933527688889,2023-01-24,191.64682237729167,2023-02-01,132.65464369713195,2023-02-16,120.041351707875
2023-01-18,96.01365972222223,95.29498611111111,10.676256944444445,4.3456875,8.289305555555556,8.495194444444444,8.712076388888889,12959.874159722223,5.501027777777778,6.457131944444445,4.459409722222222,151.26455833965278,1440,100.0,True,10,151.26455833965278,149.77737681854165,97.01577506554861,74.42980652276319,136.53731412215208,132.68590340791434,30.90018558503839,104.56244404829017,33.022553579564736,2023-01-19,161.7522819070139,2023-01-21,157.34190209909724,2023-01-25,184.04020955104167,2023-02-02,136.04994126805556,2023-02-17,69.38329071944861
