fecha_origen,fecha_objetivo,horizonte_dias,dataset,modelo,real_CFM,predicho_CFM,persistencia_CFM,error_CFM,error_absoluto_CFM,conjunto,media_7d_CFM,fuente
2023-03-28,2023-03-31,3,Operativo,Regresión lineal,66.0,93.53341178976869,83.3,-27.533411789768692,27.533411789768692,Prueba,86.91428571428571,LABS diario
2022-09-24,2022-10-01,7,Estabilidad,Random Forest B,189.2,107.26901625686995,148.2,81.93098374313004,81.93098374313004,Prueba,140.0142857142857,LABS diario
2022-09-25,2022-10-02,7,Estabilidad,Random Forest B,166.4,110.8162905282479,137.1,55.5837094717521,55.5837094717521,Prueba,142.0142857142857,LABS diario
2022-09-26,2022-10-03,7,Estabilidad,Random Forest B,149.6,118.12020089724396,141.1,31.479799102756033,31.479799102756033,Prueba,144.35714285714286,LABS diario
2022-09-27,2022-10-04,7,Estabilidad,Random Forest B,154.7,128.42362713226356,141.6,26.276372867736427,26.276372867736427,Prueba,144.84285714285713,LABS diario
2022-09-28,2022-10-05,7,Estabilidad,Random Forest B,146.0,130.170537187949,141.7,15.829462812050991,15.829462812050991,Prueba,144.71428571428572,LABS diario
2022-09-29,2022-10-06,7,Estabilidad,Random Forest B,148.8,133.0311731557403,143.5,15.768826844259706,15.768826844259706,Prueba,143.85714285714286,LABS diario
2022-09-30,2022-10-07,7,Estabilidad,Random Forest B,140.8,136.23205060012143,157.4,4.567949399878586,4.567949399878586,Prueba,144.37142857142857,LABS diario
2022-10-01,2022-10-08,7,Estabilidad,Random Forest B,125.3,121.10541000479327,189.2,4.1945899952067265,4.1945899952067265,Prueba,150.22857142857143,LABS diario
2022-10-02,2022-10-09,7,Estabilidad,Random Forest B,67.4,102.82337204234962,166.4,-35.42337204234961,35.42337204234961,Prueba,154.41428571428574,LABS diario
2022-10-03,2022-10-10,7,Estabilidad,Random Forest B,104.8,115.3267396669974,149.6,-10.5267396669974,10.5267396669974,Prueba,155.62857142857143,LABS diario
2022-10-04,2022-10-11,7,Estabilidad,Random Forest B,109.3,113.95886131294411,154.7,-4.658861312944111,4.658861312944111,Prueba,157.5,LABS diario
2022-10-05,2022-10-12,7,Estabilidad,Random Forest B,110.4,117.485588178217,146.0,-7.0855881782169945,7.0855881782169945,Prueba,158.1142857142857,LABS diario
2022-10-06,2022-10-13,7,Estabilidad,Random Forest B,131.9,121.32441021213549,148.8,10.575589787864516,10.575589787864516,Prueba,158.87142857142857,LABS diario
2022-10-07,2022-10-14,7,Estabilidad,Random Forest B,151.0,112.40315291380354,140.8,38.59684708619646,38.59684708619646,Prueba,156.5,LABS diario
2022-10-08,2022-10-15,7,Estabilidad,Random Forest B,137.3,99.38771105094447,125.3,37.91228894905554,37.91228894905554,Prueba,147.3714285714286,LABS diario
2022-10-09,2022-10-16,7,Estabilidad,Random Forest B,149.3,84.67617207947298,67.4,64.62382792052703,64.62382792052703,Prueba,133.22857142857143,LABS diario
2022-10-10,2022-10-17,7,Estabilidad,Random Forest B,142.6,112.06499429440895,104.8,30.535005705591047,30.535005705591047,Prueba,126.82857142857144,LABS diario
2022-10-11,2022-10-18,7,Estabilidad,Random Forest B,165.8,119.4828424057269,109.3,46.31715759427311,46.31715759427311,Prueba,120.34285714285714,LABS diario
2022-10-12,2022-10-19,7,Estabilidad,Random Forest B,166.0,136.45224267887974,110.4,29.547757321120258,29.547757321120258,Prueba,115.25714285714285,LABS diario
2022-10-13,2022-10-20,7,Estabilidad,Random Forest B,171.3,129.283360244937,131.9,42.01663975506301,42.01663975506301,Prueba,112.84285714285716,LABS diario
2022-10-14,2022-10-21,7,Estabilidad,Random Forest B,170.0,133.00573091870766,151.0,36.994269081292344,36.994269081292344,Prueba,114.29999999999998,LABS diario
2022-10-15,2022-10-22,7,Estabilidad,Random Forest B,116.4,114.96752709539139,137.3,1.4324729046086162,1.4324729046086162,Prueba,116.01428571428572,LABS diario
2022-10-16,2022-10-23,7,Estabilidad,Random Forest B,89.1,105.30396506152579,149.3,-16.203965061525793,16.203965061525793,Prueba,127.71428571428571,LABS diario
2022-10-17,2022-10-24,7,Estabilidad,Random Forest B,81.8,103.90156874276525,142.6,-22.101568742765252,22.101568742765252,Prueba,133.1142857142857,LABS diario
2022-10-18,2022-10-25,7,Estabilidad,Random Forest B,48.0,111.66488962981468,165.8,-63.66488962981468,63.66488962981468,Prueba,141.18571428571428,LABS diario
2022-10-19,2022-10-26,7,Estabilidad,Random Forest B,35.2,122.67215093393797,166.0,-87.47215093393797,87.47215093393797,Prueba,149.12857142857143,LABS diario
2022-10-20,2022-10-27,7,Estabilidad,Random Forest B,62.9,124.73718200846767,171.3,-61.83718200846767,61.83718200846767,Prueba,154.75714285714284,LABS diario
2022-10-21,2022-10-28,7,Estabilidad,Random Forest B,92.2,128.9010211324623,170.0,-36.70102113246229,36.70102113246229,Prueba,157.47142857142856,LABS diario
2022-10-22,2022-10-29,7,Estabilidad,Random Forest B,78.5,122.77874709482862,116.4,-44.27874709482862,44.27874709482862,Prueba,154.4857142857143,LABS diario
2022-10-23,2022-10-30,7,Estabilidad,Random Forest B,69.2,89.40688845195413,89.1,-20.20688845195413,20.20688845195413,Prueba,145.8857142857143,LABS diario
2022-10-24,2022-10-31,7,Estabilidad,Random Forest B,84.0,77.65639795237438,81.8,6.343602047625623,6.343602047625623,Prueba,137.20000000000002,LABS diario
2022-10-25,2022-11-01,7,Estabilidad,Random Forest B,108.2,88.30125188207784,48.0,19.898748117922167,19.898748117922167,Prueba,120.37142857142858,LABS diario
2022-10-26,2022-11-02,7,Estabilidad,Random Forest B,134.1,88.59559862518431,35.2,45.504401374815686,45.504401374815686,Prueba,101.68571428571428,LABS diario
2022-10-27,2022-11-03,7,Estabilidad,Random Forest B,148.5,91.46392395326426,62.9,57.036076046735744,57.036076046735744,Prueba,86.2,LABS diario
2022-10-28,2022-11-04,7,Estabilidad,Random Forest B,141.1,117.22100265884907,92.2,23.87899734115092,23.87899734115092,Prueba,75.08571428571429,LABS diario
2022-10-29,2022-11-05,7,Estabilidad,Random Forest B,105.1,100.49116233686941,78.5,4.608837663130586,4.608837663130586,Prueba,69.67142857142856,LABS diario
2022-10-30,2022-11-06,7,Estabilidad,Random Forest B,3.8,93.82649623042681,69.2,-90.02649623042682,90.02649623042682,Prueba,66.82857142857144,LABS diario
2022-10-31,2022-11-07,7,Estabilidad,Random Forest B,92.8,91.70234261760645,84.0,1.0976573823935496,1.0976573823935496,Prueba,67.14285714285714,LABS diario
2022-11-01,2022-11-08,7,Estabilidad,Random Forest B,134.0,109.05152935873657,108.2,24.948470641263427,24.948470641263427,Prueba,75.74285714285715,LABS diario
2022-11-02,2022-11-09,7,Estabilidad,Random Forest B,178.0,100.21049548467406,134.1,77.78950451532594,77.78950451532594,Prueba,89.87142857142855,LABS diario
2022-11-03,2022-11-10,7,Estabilidad,Random Forest B,183.5,100.74901552970842,148.5,82.75098447029158,82.75098447029158,Prueba,102.10000000000001,LABS diario
2022-11-04,2022-11-11,7,Estabilidad,Random Forest B,127.4,89.68516798783227,141.1,37.71483201216773,37.71483201216773,Prueba,109.08571428571427,LABS diario
2022-11-05,2022-11-12,7,Estabilidad,Random Forest B,93.4,91.58358721840443,105.1,1.8164127815955737,1.8164127815955737,Prueba,112.88571428571427,LABS diario
2022-11-06,2022-11-13,7,Estabilidad,Random Forest B,77.0,86.78731352853491,3.8,-9.78731352853491,9.78731352853491,Prueba,103.54285714285713,LABS diario
